1,Sun,1982-09-12,1:00PM,Atlanta Falcons,New York Giants,16,14
1,Sun,1982-09-12,1:00PM,Buffalo Bills,Kansas City Chiefs,14,9
1,Sun,1982-09-12,1:00PM,Detroit Lions,Chicago Bears,17,10
1,Sun,1982-09-12,1:00PM,Cincinnati Bengals,Houston Oilers,27,6
1,Sun,1982-09-12,1:00PM,St. Louis Cardinals,New Orleans Saints,21,7
1,Sun,1982-09-12,1:00PM,Green Bay Packers,Los Angeles Rams,35,23
1,Sun,1982-09-12,1:00PM,Minnesota Vikings,Tampa Bay Buccaneers,17,10
1,Sun,1982-09-12,1:00PM,Washington Redskins,Philadelphia Eagles,37,34
1,Sun,1982-09-12,2:00PM,New England Patriots,Baltimore Colts,24,13
1,Sun,1982-09-12,4:00PM,Cleveland Browns,Seattle Seahawks,21,7
1,Sun,1982-09-12,4:00PM,San Diego Chargers,Denver Broncos,23,3
1,Sun,1982-09-12,4:00PM,Miami Dolphins,New York Jets,45,28
1,Sun,1982-09-12,4:00PM,Los Angeles Raiders,San Francisco 49ers,23,17
1,Mon,1982-09-13,9:00PM,Pittsburgh Steelers,Dallas Cowboys,36,28
2,Thu,1982-09-16,8:30PM,Buffalo Bills,Minnesota Vikings,23,22
2,Sun,1982-09-19,1:00PM,Los Angeles Raiders,Atlanta Falcons,38,14
2,Sun,1982-09-19,1:00PM,New Orleans Saints,Chicago Bears,10,0
2,Sun,1982-09-19,1:00PM,Pittsburgh Steelers,Cincinnati Bengals,26,20
2,Sun,1982-09-19,1:00PM,Philadelphia Eagles,Cleveland Browns,24,21
2,Sun,1982-09-19,1:00PM,Dallas Cowboys,St. Louis Cardinals,24,7
2,Sun,1982-09-19,1:00PM,Kansas City Chiefs,San Diego Chargers,19,12
2,Sun,1982-09-19,1:00PM,New York Jets,New England Patriots,31,7
2,Sun,1982-09-19,4:00PM,Miami Dolphins,Baltimore Colts,24,20
2,Sun,1982-09-19,4:00PM,Denver Broncos,San Francisco 49ers,24,21
2,Sun,1982-09-19,4:00PM,Detroit Lions,Los Angeles Rams,19,14
2,Sun,1982-09-19,4:00PM,Houston Oilers,Seattle Seahawks,23,21
2,Sun,1982-09-19,4:00PM,Washington Redskins,Tampa Bay Buccaneers,21,13
2,Mon,1982-09-20,9:00PM,Green Bay Packers,New York Giants,27,19
11,Sun,1982-11-21,1:00PM,Atlanta Falcons,Los Angeles Rams,34,17
11,Sun,1982-11-21,1:00PM,Miami Dolphins,Buffalo Bills,9,7
11,Sun,1982-11-21,1:00PM,Chicago Bears,Detroit Lions,20,17
11,Sun,1982-11-21,1:00PM,Cincinnati Bengals,Philadelphia Eagles,18,14
11,Sun,1982-11-21,1:00PM,Cleveland Browns,New England Patriots,10,7
11,Sun,1982-11-21,1:00PM,New York Jets,Baltimore Colts,37,0
11,Sun,1982-11-21,1:00PM,Dallas Cowboys,Tampa Bay Buccaneers,14,9
11,Sun,1982-11-21,1:00PM,Green Bay Packers,Minnesota Vikings,26,7
11,Sun,1982-11-21,1:00PM,New Orleans Saints,Kansas City Chiefs,27,17
11,Sun,1982-11-21,1:00PM,Pittsburgh Steelers,Houston Oilers,24,10
11,Sun,1982-11-21,4:00PM,San Francisco 49ers,St. Louis Cardinals,31,20
11,Sun,1982-11-21,4:00PM,Seattle Seahawks,Denver Broncos,17,10
11,Sun,1982-11-21,4:00PM,Washington Redskins,New York Giants,27,17
11,Mon,1982-11-22,9:00PM,Los Angeles Raiders,San Diego Chargers,28,24
12,Thu,1982-11-25,12:00PM,New York Giants,Detroit Lions,13,6
12,Thu,1982-11-25,4:00PM,Dallas Cowboys,Cleveland Browns,31,14
12,Sun,1982-11-28,1:00PM,St. Louis Cardinals,Atlanta Falcons,23,20
12,Sun,1982-11-28,1:00PM,Buffalo Bills,Baltimore Colts,20,0
12,Sun,1982-11-28,1:00PM,Minnesota Vikings,Chicago Bears,35,7
12,Sun,1982-11-28,1:00PM,Cincinnati Bengals,Los Angeles Raiders,31,17
12,Sun,1982-11-28,1:00PM,New York Jets,Green Bay Packers,15,13
12,Sun,1982-11-28,1:00PM,New England Patriots,Houston Oilers,29,21
12,Sun,1982-11-28,1:00PM,Washington Redskins,Philadelphia Eagles,13,9
12,Sun,1982-11-28,4:00PM,San Diego Chargers,Denver Broncos,30,20
12,Sun,1982-11-28,4:00PM,Los Angeles Rams,Kansas City Chiefs,20,14
12,Sun,1982-11-28,4:00PM,New Orleans Saints,San Francisco 49ers,23,20
12,Sun,1982-11-28,4:00PM,Seattle Seahawks,Pittsburgh Steelers,16,0
12,Mon,1982-11-29,9:00PM,Tampa Bay Buccaneers,Miami Dolphins,23,17
13,Thu,1982-12-02,9:00PM,San Francisco 49ers,Los Angeles Rams,30,24
13,Sun,1982-12-05,1:00PM,Green Bay Packers,Buffalo Bills,33,21
13,Sun,1982-12-05,1:00PM,Chicago Bears,New England Patriots,26,13
13,Sun,1982-12-05,1:00PM,San Diego Chargers,Cleveland Browns,30,13
13,Sun,1982-12-05,1:00PM,St. Louis Cardinals,Philadelphia Eagles,23,20
13,Sun,1982-12-05,1:00PM,Pittsburgh Steelers,Kansas City Chiefs,35,14
13,Sun,1982-12-05,1:00PM,Miami Dolphins,Minnesota Vikings,22,14
13,Sun,1982-12-05,1:00PM,Tampa Bay Buccaneers,New Orleans Saints,13,10
13,Sun,1982-12-05,1:00PM,New York Giants,Houston Oilers,17,14
13,Sun,1982-12-05,4:00PM,Atlanta Falcons,Denver Broncos,34,27
13,Sun,1982-12-05,4:00PM,Cincinnati Bengals,Baltimore Colts,20,17
13,Sun,1982-12-05,4:00PM,Dallas Cowboys,Washington Redskins,24,10
13,Sun,1982-12-05,4:00PM,Los Angeles Raiders,Seattle Seahawks,28,23
13,Mon,1982-12-06,9:00PM,New York Jets,Detroit Lions,28,13
14,Sat,1982-12-11,12:30PM,New York Giants,Philadelphia Eagles,23,7
14,Sat,1982-12-11,4:00PM,San Diego Chargers,San Francisco 49ers,41,37
14,Sun,1982-12-12,12:00PM,Buffalo Bills,Pittsburgh Steelers,13,0
14,Sun,1982-12-12,1:00PM,Cincinnati Bengals,Cleveland Browns,23,10
14,Sun,1982-12-12,1:00PM,Minnesota Vikings,Baltimore Colts,13,10
14,Sun,1982-12-12,1:00PM,Washington Redskins,St. Louis Cardinals,12,7
14,Sun,1982-12-12,1:00PM,Detroit Lions,Green Bay Packers,30,10
14,Sun,1982-12-12,1:00PM,New England Patriots,Miami Dolphins,3,0
14,Sun,1982-12-12,1:00PM,New York Jets,Tampa Bay Buccaneers,32,17
14,Sun,1982-12-12,4:00PM,Atlanta Falcons,New Orleans Saints,35,0
14,Sun,1982-12-12,4:00PM,Seattle Seahawks,Chicago Bears,20,14
14,Sun,1982-12-12,4:00PM,Denver Broncos,Los Angeles Rams,27,24
14,Sun,1982-12-12,4:00PM,Los Angeles Raiders,Kansas City Chiefs,21,16
14,Mon,1982-12-13,9:00PM,Dallas Cowboys,Houston Oilers,37,7
15,Sat,1982-12-18,12:30PM,Miami Dolphins,New York Jets,20,19
15,Sat,1982-12-18,4:00PM,Los Angeles Raiders,Los Angeles Rams,37,31
15,Sun,1982-12-19,1:00PM,St. Louis Cardinals,Chicago Bears,10,7
15,Sun,1982-12-19,1:00PM,Cleveland Browns,Pittsburgh Steelers,10,9
15,Sun,1982-12-19,1:00PM,Minnesota Vikings,Detroit Lions,34,31
15,Sun,1982-12-19,1:00PM,Washington Redskins,New York Giants,15,14
15,Sun,1982-12-19,1:00PM,Philadelphia Eagles,Houston Oilers,35,14
15,Sun,1982-12-19,2:00PM,Green Bay Packers,Baltimore Colts,20,20
15,Sun,1982-12-19,4:00PM,Tampa Bay Buccaneers,Buffalo Bills,24,23
15,Sun,1982-12-19,4:00PM,Dallas Cowboys,New Orleans Saints,21,7
15,Sun,1982-12-19,4:00PM,Kansas City Chiefs,Denver Broncos,37,16
15,Sun,1982-12-19,4:00PM,New England Patriots,Seattle Seahawks,16,0
15,Sun,1982-12-19,9:00PM,Atlanta Falcons,San Francisco 49ers,17,7
15,Mon,1982-12-20,9:00PM,San Diego Chargers,Cincinnati Bengals,50,34
16,Sun,1982-12-26,1:00PM,Green Bay Packers,Atlanta Falcons,38,7
16,Sun,1982-12-26,1:00PM,Cincinnati Bengals,Seattle Seahawks,24,10
16,Sun,1982-12-26,1:00PM,Cleveland Browns,Houston Oilers,20,14
16,Sun,1982-12-26,1:00PM,St. Louis Cardinals,New York Giants,24,21
16,Sun,1982-12-26,1:00PM,Tampa Bay Buccaneers,Detroit Lions,23,21
16,Sun,1982-12-26,1:00PM,San Francisco 49ers,Kansas City Chiefs,26,13
16,Sun,1982-12-26,1:00PM,Pittsburgh Steelers,New England Patriots,37,14
16,Sun,1982-12-26,4:00PM,Chicago Bears,Los Angeles Rams,34,26
16,Sun,1982-12-26,4:00PM,San Diego Chargers,Baltimore Colts,44,26
16,Sun,1982-12-26,4:00PM,Philadelphia Eagles,Dallas Cowboys,24,20
16,Sun,1982-12-26,4:00PM,Los Angeles Raiders,Denver Broncos,27,10
16,Sun,1982-12-26,4:00PM,New York Jets,Minnesota Vikings,42,14
16,Sun,1982-12-26,4:00PM,Washington Redskins,New Orleans Saints,27,10
16,Mon,1982-12-27,9:00PM,Miami Dolphins,Buffalo Bills,27,10
17,Sun,1983-01-02,12:00PM,New Orleans Saints,Atlanta Falcons,35,6
17,Sun,1983-01-02,1:00PM,New England Patriots,Buffalo Bills,30,19
17,Sun,1983-01-02,1:00PM,Tampa Bay Buccaneers,Chicago Bears,26,23
17,Sun,1983-01-02,1:00PM,Cincinnati Bengals,Houston Oilers,35,27
17,Sun,1983-01-02,1:00PM,Pittsburgh Steelers,Cleveland Browns,37,21
17,Sun,1983-01-02,1:00PM,Washington Redskins,St. Louis Cardinals,28,0
17,Sun,1983-01-02,1:00PM,Detroit Lions,Green Bay Packers,27,24
17,Sun,1983-01-02,1:00PM,Kansas City Chiefs,New York Jets,37,13
17,Sun,1983-01-02,1:00PM,New York Giants,Philadelphia Eagles,26,24
17,Sun,1983-01-02,2:00PM,Miami Dolphins,Baltimore Colts,34,7
17,Sun,1983-01-02,4:00PM,Seattle Seahawks,Denver Broncos,13,11
17,Sun,1983-01-02,4:00PM,Los Angeles Raiders,San Diego Chargers,41,34
17,Sun,1983-01-02,4:00PM,Los Angeles Rams,San Francisco 49ers,21,20
17,Mon,1983-01-03,9:00PM,Minnesota Vikings,Dallas Cowboys,31,27
WildCard,Sat,1983-01-08,12:30PM,Green Bay Packers,St. Louis Cardinals,41,16
WildCard,Sat,1983-01-08,12:30PM,Washington Redskins,Detroit Lions,31,7
WildCard,Sat,1983-01-08,4:00PM,Los Angeles Raiders,Cleveland Browns,27,10
WildCard,Sat,1983-01-08,4:00PM,Miami Dolphins,New England Patriots,28,13
WildCard,Sun,1983-01-09,12:30PM,New York Jets,Cincinnati Bengals,44,17
WildCard,Sun,1983-01-09,12:30PM,San Diego Chargers,Pittsburgh Steelers,31,28
WildCard,Sun,1983-01-09,4:00PM,Minnesota Vikings,Atlanta Falcons,30,24
WildCard,Sun,1983-01-09,4:00PM,Dallas Cowboys,Tampa Bay Buccaneers,30,17
Division,Sat,1983-01-15,12:30PM,Washington Redskins,Minnesota Vikings,21,7
Division,Sat,1983-01-15,4:00PM,New York Jets,Los Angeles Raiders,17,14
Division,Sun,1983-01-16,12:30PM,Miami Dolphins,San Diego Chargers,34,13
Division,Sun,1983-01-16,4:00PM,Dallas Cowboys,Green Bay Packers,37,26
ConfChamp,Sat,1983-01-22,12:30PM,Washington Redskins,Dallas Cowboys,31,17
ConfChamp,Sun,1983-01-23,1:00PM,Miami Dolphins,New York Jets,14,0
SuperBowl,Sun,1983-01-30,6:00PM,Washington Redskins,Miami Dolphins,27,17
